t[s],CH1,CH2
0.212,-4.8,0.024
0.214,-4.8,0.024
0.216,-4.8,0.024
0.218,-4.8,0.032
0.22,-4.8,0.032
0.222,-4.6,0.024
0.224,-4.6,0.032
0.226,-4.6,0.032
0.228,-4.6,0.032
0.23,-4.6,0.032
0.232,-4.6,0.024
0.234,-4.6,0.032
0.236,-4.6,0.032
0.238,-4.6,0.032
0.24,-4.6,0.032
0.242,-4.6,0.032
0.244,-4.4,0.032
0.246,-4.4,0.032
0.248,-4.6,0.032
0.25,-4.4,0.032
0.252,-4.4,0.032
0.254,-4.4,0.024
0.256,-4.4,0.032
0.258,-4.4,0.032
0.26,-4.4,0.032
0.262,-4.4,0.032
0.264,-4.4,0.032
0.266,-4.4,0.032
0.268,-4.4,0.032
0.27,-4.4,0.032
0.272,-4.4,0.032
0.274,-4.4,0.032
0.276,-4.4,0.032
0.278,-4.4,0.032
0.28,-4.4,0.032
0.282,-4.4,0.032
0.284,-4.2,0.04
0.286,-4.2,0.04
0.288,-4.2,0.04
0.29,-4.2,0.04
0.292,-4.2,0.04
0.294,-4.2,0.04
0.296,-4.2,0.04
0.298,-4.2,0.04
0.3,-4.2,0.048
0.302,-4.2,0.04
0.304,-4.0,0.048
0.306,-4.2,0.048
0.308,-4.2,0.048
0.31,-4.2,0.048
0.312,-4.0,0.04
0.314,-4.0,0.048
0.316,-4.0,0.048
0.318,-4.0,0.048
0.32,-4.0,0.056
0.322,-4.0,0.056
0.324,-4.0,0.056
0.326,-4.0,0.056
0.328,-4.0,0.056
0.33,-4.0,0.056
0.332,-4.0,0.056
0.334,-4.0,0.056
0.336,-4.0,0.056
0.338,-4.0,0.056
0.34,-4.0,0.056
0.342,-4.0,0.064
0.344,-4.0,0.064
0.346,-4.0,0.072
0.348,-4.0,0.072
0.35,-4.0,0.064
0.352,-3.8,0.064
0.354,-4.0,0.072
0.356,-3.8,0.072
0.358,-3.8,0.072
0.36,-3.8,0.072
0.362,-3.8,0.08
0.364,-3.8,0.072
0.366,-3.8,0.072
0.368,-3.8,0.072
0.37,-3.8,0.072
0.372,-3.8,0.072
0.374,-3.8,0.072
0.376,-3.8,0.072
0.378,-3.8,0.08
0.38,-3.8,0.08
0.382,-3.8,0.08
0.384,-3.8,0.08
0.386,-3.8,0.08
0.388,-3.6,0.08
0.39,-3.8,0.08
0.392,-3.6,0.08
0.394,-3.8,0.08
0.396,-3.8,0.08
0.398,-3.8,0.08
0.4,-3.6,0.088
0.402,-3.8,0.088
0.404,-3.6,0.096
0.406,-3.8,0.096
0.408,-3.6,0.096
0.41,-3.6,0.096
0.412,-3.6,0.088
0.414,-3.6,0.088
0.416,-3.6,0.088
0.418,-3.6,0.096
0.42,-3.6,0.104
0.422,-3.6,0.112
0.424,-3.6,0.12
0.426,-3.6,0.128
0.428,-3.6,0.12
0.43,-3.6,0.12
0.432,-3.6,0.128
0.434,-3.4,0.136
0.436,-3.4,0.144
0.438,-3.4,0.144
0.44,-3.4,0.152
0.442,-3.4,0.168
0.444,-3.4,0.16
0.446,-3.4,0.16
0.448,-3.2,0.168
0.45,-3.4,0.176
0.452,-3.4,0.176
0.454,-3.4,0.184
0.456,-3.4,0.192
0.458,-3.2,0.208
0.46,-3.4,0.208
0.462,-3.2,0.216
0.464,-3.4,0.24
0.466,-3.2,0.248
0.468,-3.2,0.24
0.47,-3.2,0.248
0.472,-3.2,0.248
0.474,-3.2,0.256
0.476,-3.2,0.264
0.478,-3.2,0.296
0.48,-3.0,0.312
0.482,-3.2,0.328
0.484,-3.2,0.336
0.486,-3.2,0.336
0.488,-3.2,0.336
0.49,-3.2,0.336
0.492,-3.2,0.328
0.494,-3.2,0.336
0.496,-3.0,0.352
0.498,-3.2,0.368
0.5,-3.0,0.392
0.502,-3.0,0.4
0.504,-3.0,0.408
0.506,-3.0,0.432
0.508,-3.2,0.448
0.51,-3.0,0.448
0.512,-2.8,0.464
0.514,-3.0,0.464
0.516,-3.0,0.496
0.518,-3.0,0.512
0.52,-2.8,0.512
0.522,-3.0,0.52
0.524,-3.0,0.536
0.526,-2.8,0.56
0.528,-3.0,0.56
0.53,-2.8,0.544
0.532,-2.8,0.56
0.534,-2.8,0.592
0.536,-2.8,0.624
0.538,-2.8,0.648
0.54,-2.8,0.632
0.542,-2.8,0.64
0.544,-2.8,0.696
0.546,-2.8,0.696
0.548,-2.8,0.696
0.55,-2.8,0.704
0.552,-2.8,0.72
0.554,-2.8,0.752
0.556,-2.8,0.76
0.558,-2.8,0.76
0.56,-2.8,0.792
0.562,-2.8,0.816
0.564,-2.6,0.816
0.566,-2.8,0.808
0.568,-2.6,0.808
0.57,-2.6,0.848
0.572,-2.8,0.888
0.574,-2.8,0.896
0.576,-2.8,0.936
0.578,-2.6,0.968
0.58,-2.6,0.968
0.582,-2.6,0.96
0.584,-2.6,0.928
0.586,-2.6,0.944
0.588,-2.6,0.976
0.59,-2.6,0.992
0.592,-2.6,1.016
0.594,-2.6,1.048
0.596,-2.4,1.064
0.598,-2.6,1.08
0.6,-2.4,1.08
0.602,-2.4,1.072
0.604,-2.4,1.096
0.606,-2.4,1.112
0.608,-2.4,1.12
0.61,-2.4,1.136
0.612,-2.4,1.12
0.614,-2.4,1.128
0.616,-2.4,1.144
0.618,-2.4,1.16
0.62,-2.4,1.16
0.622,-2.4,1.168
0.624,-2.4,1.168
0.626,-2.4,1.176
0.628,-2.4,1.168
0.63,-2.2,1.168
0.632,-2.2,1.168
0.634,-2.2,1.168
0.636,-2.4,1.168
0.638,-2.2,1.168
0.64,-2.2,1.168
0.642,-2.2,1.168
0.644,-2.2,1.168
0.646,-2.2,1.168
0.648,-2.2,1.16
0.65,-2.2,1.16
0.652,-2.2,1.16
0.654,-2.2,1.152
0.656,-2.2,1.152
0.658,-2.2,1.152
0.66,-2.2,1.152
0.662,-2.2,1.152
0.664,-2.2,1.152
0.666,-2.2,1.144
0.668,-2.0,1.144
0.67,-2.0,1.144
0.672,-2.0,1.136
0.674,-2.0,1.128
0.676,-2.0,1.112
0.678,-2.2,1.12
0.68,-2.0,1.112
0.682,-2.0,1.112
0.684,-2.0,1.112
0.686,-2.0,1.104
0.688,-2.0,1.096
0.69,-2.0,1.088
0.692,-2.0,1.072
0.694,-2.0,1.056
0.696,-2.0,1.048
0.698,-1.8,1.032
0.7,-2.0,1.024
0.702,-1.8,1.008
0.704,-2.0,0.976
0.706,-2.0,0.968
0.708,-2.0,0.96
0.71,-1.8,0.928
0.712,-2.0,0.92
0.714,-1.8,0.912
0.716,-2.0,0.888
0.718,-1.8,0.88
0.72,-1.8,0.88
0.722,-1.8,0.848
0.724,-1.8,0.84
0.726,-1.8,0.824
0.728,-1.8,0.808
0.73,-1.6,0.776
0.732,-1.8,0.752
0.734,-1.8,0.752
0.736,-1.6,0.752
0.738,-1.6,0.72
0.74,-1.6,0.72
0.742,-1.6,0.72
0.744,-1.6,0.712
0.746,-1.6,0.704
0.748,-1.6,0.688
0.75,-1.6,0.68
0.752,-1.6,0.68
0.754,-1.6,0.656
0.756,-1.6,0.648
0.758,-1.6,0.656
0.76,-1.6,0.648
0.762,-1.6,0.632
0.764,-1.4,0.616
0.766,-1.6,0.608
0.768,-1.6,0.616
0.77,-1.6,0.616
0.772,-1.6,0.584
0.774,-1.6,0.56
0.776,-1.4,0.552
0.778,-1.6,0.56
0.78,-1.4,0.544
0.782,-1.4,0.528
0.784,-1.4,0.528
0.786,-1.6,0.528
0.788,-1.4,0.52
0.79,-1.4,0.496
0.792,-1.4,0.44
0.794,-1.4,0.424
0.796,-1.4,0.448
0.798,-1.4,0.464
0.8,-1.2,0.488
0.802,-1.4,0.464
0.804,-1.2,0.408
0.806,-1.2,0.384
0.808,-1.4,0.376
0.81,-1.2,0.392
0.812,-1.2,0.392
0.814,-1.2,0.368
0.816,-1.2,0.352
0.818,-1.2,0.336
0.82,-1.2,0.344
0.822,-1.2,0.344
0.824,-1.2,0.328
0.826,-1.2,0.328
0.828,-1.2,0.328
0.83,-1.2,0.312
0.832,-1.2,0.304
0.834,-1.2,0.296
0.836,-1.2,0.296
0.838,-1.2,0.296
0.84,-1.2,0.288
0.842,-1.2,0.272
0.844,-1.2,0.264
0.846,-1.0,0.264
0.848,-1.0,0.264
0.85,-1.0,0.264
0.852,-1.0,0.248
0.854,-1.0,0.248
0.856,-1.0,0.248
0.858,-1.0,0.248
0.86,-1.0,0.24
0.862,-1.0,0.232
0.864,-1.0,0.224
0.866,-1.0,0.216
0.868,-1.0,0.216
0.87,-1.0,0.216
0.872,-1.0,0.224
0.874,-0.8,0.208
0.876,-0.8,0.208
0.878,-0.8,0.2
0.88,-0.8,0.192
0.882,-0.8,0.192
0.884,-0.8,0.192
0.886,-0.8,0.184
0.888,-0.8,0.184
0.89,-0.8,0.176
0.892,-0.8,0.168
0.894,-0.8,0.168
0.896,-0.8,0.168
0.898,-0.8,0.16
0.9,-0.8,0.152
0.902,-0.8,0.144
0.904,-0.8,0.152
0.906,-0.8,0.152
0.908,-0.8,0.144
0.91,-0.6,0.136
0.912,-0.6,0.136
0.914,-0.8,0.128
0.916,-0.6,0.128
0.918,-0.6,0.128
0.92,-0.6,0.128
0.922,-0.6,0.128
0.924,-0.6,0.12
0.926,-0.6,0.112
0.928,-0.6,0.112
0.93,-0.6,0.112
0.932,-0.6,0.112
0.934,-0.6,0.112
0.936,-0.4,0.104
0.938,-0.6,0.104
0.94,-0.6,0.112
0.942,-0.6,0.104
0.944,-0.6,0.104
0.946,-0.4,0.096
0.948,-0.4,0.096
0.95,-0.4,0.096
0.952,-0.4,0.096
0.954,-0.4,0.096
0.956,-0.4,0.088
0.958,-0.4,0.096
0.96,-0.4,0.088
0.962,-0.4,0.088
0.964,-0.4,0.088
0.966,-0.4,0.088
0.968,-0.4,0.088
0.97,-0.4,0.088
0.972,-0.2,0.088
0.974,-0.4,0.08
0.976,-0.4,0.08
