t[s],CH1,CH2
1.502,-6.6,0.08
1.504,-6.8,0.08
1.506,-6.6,0.08
1.508,-6.6,0.08
1.51,-6.6,0.08
1.512,-6.6,0.08
1.514,-6.6,0.08
1.516,-6.6,0.08
1.518,-6.4,0.08
1.52,-6.4,0.08
1.522,-6.4,0.08
1.524,-6.6,0.08
1.526,-6.6,0.08
1.528,-6.4,0.08
1.53,-6.4,0.08
1.532,-6.6,0.08
1.534,-6.4,0.08
1.536,-6.4,0.08
1.538,-6.4,0.08
1.54,-6.4,0.08
1.542,-6.4,0.16
1.544,-6.4,0.08
1.546,-6.4,0.08
1.548,-6.4,0.08
1.55,-6.4,0.08
1.552,-6.4,0.08
1.554,-6.4,0.08
1.556,-6.4,0.16
1.558,-6.2,0.08
1.56,-6.2,0.08
1.562,-6.2,0.08
1.564,-6.4,0.08
1.566,-6.4,0.08
1.568,-6.2,0.08
1.57,-6.2,0.08
1.572,-6.2,0.08
1.574,-6.2,0.08
1.576,-6.2,0.08
1.578,-6.2,0.08
1.58,-6.2,0.08
1.582,-6.2,0.08
1.584,-6.2,0.16
1.586,-6.2,0.08
1.588,-6.2,0.08
1.59,-6.2,0.08
1.592,-6.2,0.08
1.594,-6.2,0.16
1.596,-6.0,0.08
1.598,-6.0,0.08
1.6,-6.0,0.08
1.602,-6.0,0.08
1.604,-6.2,0.08
1.606,-6.0,0.08
1.608,-6.0,0.08
1.61,-6.0,0.08
1.612,-6.0,0.16
1.614,-6.0,0.08
1.616,-6.0,0.16
1.618,-6.0,0.16
1.62,-6.0,0.16
1.622,-6.0,0.16
1.624,-6.0,0.16
1.626,-5.8,0.16
1.628,-5.8,0.08
1.63,-5.8,0.16
1.632,-6.0,0.08
1.634,-5.8,0.16
1.636,-5.8,0.16
1.638,-6.0,0.16
1.64,-5.8,0.16
1.642,-5.8,0.16
1.644,-5.8,0.16
1.646,-5.8,0.16
1.648,-5.8,0.16
1.65,-5.8,0.16
1.652,-5.6,0.16
1.654,-5.8,0.08
1.656,-5.6,0.16
1.658,-5.8,0.16
1.66,-5.8,0.16
1.662,-5.8,0.24
1.664,-5.8,0.16
1.666,-5.6,0.16
1.668,-5.8,0.16
1.67,-5.6,0.24
1.672,-5.6,0.16
