t[s],CH1,CH2
2.37,-6.6,5.36
2.372,-6.6,5.4
2.374,-6.6,5.44
2.376,-6.6,5.56
2.378,-6.8,5.6
2.38,-6.6,5.6
2.382,-6.6,5.64
2.384,-6.6,5.64
2.386,-6.6,5.6
2.388,-6.6,5.64
2.39,-6.6,5.6
2.392,-6.6,5.56
2.394,-6.6,5.56
2.396,-6.6,5.48
2.398,-6.6,5.48
2.4,-6.6,5.4
1000,80-85,1000
3.676,0.8,4.08
3.678,0.8,4.28
3.68,0.8,4.6
3.682,0.8,4.96
3.684,0.8,5.28
3.686,1.0,5.4
3.688,0.8,5.52
3.69,0.8,5.52
3.692,0.8,5.52
3.694,1.0,5.56
3.696,1.0,5.52
3.698,1.0,5.48
3.7,1.0,5.44
3.702,1.0,5.44
3.704,1.0,5.48
3.706,1.0,5.52
3.708,1.0,5.52
3.71,1.0,5.56
3.712,1.0,5.6
3.714,1.0,5.56
3.716,1.0,5.56
3.718,1.2,5.48
3.72,1.0,5.4
3.722,1.0,5.32
3.724,1.2,5.12
3.726,1.2,5.04
3.728,1.2,4.96
3.73,1.0,4.8
3.732,1.2,4.68
3.734,1.2,4.68
3.736,1.2,4.6
3.738,1.2,4.48
3.74,1.2,4.36
3.742,1.2,4.36
2000,80-85,2000
1.914,-4.4,8.0
1.916,-4.2,8.24
1.918,-4.2,8.4
1.92,-4.2,8.4
1.922,-4.2,8.48
1.924,-4.2,8.56
1.926,-4.2,8.64
1.928,-4.2,8.56
1.93,-4.2,8.32
1.932,-4.2,8.16
1.934,-4.2,8.0
1000,85-85,1000
3.14,2.8,7.92
3.142,2.8,8.0
3.144,2.8,8.16
3.146,2.8,8.32
3.148,2.8,8.56
3.15,3.0,8.48
3.152,2.8,8.56
3.154,3.0,8.56
3.156,2.8,8.56
3.158,3.0,8.56
3.16,2.8,8.56
3.162,2.8,8.4
3.164,3.0,8.24
3.166,3.0,8.16
2000,85-85,2000
0.29,-3.8,2.12
0.291,-3.6,1.88
0.292,-3.6,2.48
0.293,-3.6,1.84
0.294,-3.6,2.6
0.295,-3.6,2.18
0.296,-3.6,2.62
0.297,-3.6,2.24
0.298,-3.6,2.58
0.299,-3.6,2.74
0.3,-3.6,2.44
0.301,-3.6,3.04
0.302,-3.6,2.42
0.303,-3.6,2.96
0.304,-3.6,2.82
0.305,-3.4,3.0
0.306,-3.6,3.02
0.307,-3.6,2.96
0.308,-3.6,3.14
0.309,-3.4,3.08
0.31,-3.6,3.2
0.311,-3.6,3.22
0.312,-3.6,3.16
0.313,-3.6,3.3
0.314,-3.6,3.12
0.315,-3.6,3.3
