t[s],CH1,CH2
1.0,-9.0,0.024
1.002,-9.0,0.024
1.004,-9.0,0.024
1.006,-9.0,0.024
1.008,-9.0,0.016
1.01,-9.0,0.024
1.012,-9.0,0.016
1.014,-8.8,0.024
1.016,-9.0,0.024
1.018,-8.8,0.024
1.02,-9.0,0.024
1.022,-8.8,0.024
1.024,-8.8,0.016
1.026,-8.8,0.024
1.028,-8.8,0.024
1.03,-8.8,0.024
1.032,-8.8,0.024
1.034,-8.8,0.024
1.036,-8.8,0.024
1.038,-8.8,0.024
1.04,-8.8,0.024
1.042,-8.8,0.024
1.044,-8.8,0.024
1.046,-8.8,0.024
1.048,-8.8,0.016
1.05,-8.8,0.024
1.052,-8.8,0.024
1.054,-8.8,0.024
1.056,-8.8,0.024
1.058,-8.8,0.024
1.06,-8.8,0.024
1.062,-8.8,0.024
1.064,-8.6,0.024
1.066,-8.8,0.024
1.068,-8.6,0.024
1.07,-8.6,0.024
1.072,-8.6,0.024
1.074,-8.6,0.024
1.076,-8.6,0.032
1.078,-8.6,0.024
1.08,-8.6,0.024
1.082,-8.6,0.024
1.084,-8.6,0.024
1.086,-8.6,0.024
1.088,-8.6,0.024
1.09,-8.6,0.024
1.092,-8.4,0.024
1.094,-8.4,0.024
1.096,-8.4,0.024
1.098,-8.4,0.032
1.1,-8.4,0.024
1.102,-8.4,0.032
1.104,-8.4,0.024
1.106,-8.4,0.024
1.108,-8.4,0.024
1.11,-8.4,0.024
1.112,-8.4,0.024
1.114,-8.4,0.024
1.116,-8.4,0.024
1.118,-8.4,0.024
1.12,-8.4,0.024
1.122,-8.4,0.024
1.124,-8.4,0.024
1.126,-8.4,0.024
1.128,-8.4,0.032
1.13,-8.4,0.024
1.132,-8.2,0.032
1.134,-8.2,0.032
1.136,-8.2,0.024
1.138,-8.2,0.032
1.14,-8.4,0.032
1.142,-8.2,0.032
1.144,-8.2,0.032
1.146,-8.2,0.032
1.148,-8.2,0.032
1.15,-8.2,0.032
1.152,-8.2,0.032
1.154,-8.2,0.032
1.156,-8.2,0.032
1.158,-8.0,0.032
1.16,-8.2,0.032
1.162,-8.0,0.032
1.164,-8.2,0.032
1.166,-8.2,0.04
1.168,-8.0,0.032
1.17,-8.0,0.032
1.172,-8.0,0.032
1.174,-8.0,0.032
1.176,-8.0,0.032
1.178,-8.0,0.032
1.18,-8.0,0.032
1.182,-8.0,0.032
1.184,-8.0,0.032
1.186,-8.0,0.032
1.188,-8.0,0.032
1.19,-8.0,0.04
1.192,-8.0,0.04
1.194,-8.0,0.04
1.196,-8.0,0.032
1.198,-7.8,0.04
1.2,-8.0,0.04
1.202,-8.0,0.04
1.204,-8.0,0.04
1.206,-7.8,0.04
1.208,-7.8,0.04
1.21,-8.0,0.048
1.212,-7.8,0.04
1.214,-7.8,0.048
1.216,-7.8,0.04
1.218,-7.8,0.048
1.22,-7.8,0.048
1.222,-7.8,0.04
1.224,-7.8,0.048
1.226,-7.6,0.048
1.228,-7.8,0.048
1.23,-7.8,0.048
1.232,-7.6,0.048
1.234,-7.8,0.056
1.236,-7.8,0.056
1.238,-7.6,0.056
1.24,-7.6,0.056
1.242,-7.8,0.056
1.244,-7.8,0.056
1.246,-7.6,0.056
1.248,-7.6,0.056
1.25,-7.6,0.056
1.252,-7.6,0.064
1.254,-7.6,0.056
1.256,-7.6,0.064
1.258,-7.6,0.064
1.26,-7.6,0.064
1.262,-7.6,0.064
1.264,-7.6,0.064
1.266,-7.6,0.072
1.268,-7.4,0.072
1.27,-7.4,0.064
1.272,-7.4,0.072
1.274,-7.6,0.072
1.276,-7.4,0.072
1.278,-7.4,0.08
1.28,-7.4,0.08
1.282,-7.4,0.08
1.284,-7.4,0.08
1.286,-7.4,0.08
1.288,-7.4,0.08
1.29,-7.4,0.08
1.292,-7.4,0.08
1.294,-7.4,0.088
1.296,-7.2,0.08
1.298,-7.4,0.088
1.3,-7.4,0.096
1.302,-7.4,0.096
1.304,-7.4,0.096
1.306,-7.4,0.096
1.308,-7.2,0.104
1.31,-7.4,0.112
1.312,-7.2,0.112
1.314,-7.2,0.112
1.316,-7.2,0.12
1.318,-7.2,0.128
1.32,-7.2,0.128
1.322,-7.2,0.144
1.324,-7.2,0.144
1.326,-7.2,0.152
1.328,-7.2,0.168
1.33,-7.2,0.168
1.332,-7.2,0.168
1.334,-7.2,0.184
1.336,-7.2,0.184
1.338,-7.2,0.192
1.34,-7.2,0.2
1.342,-7.0,0.216
1.344,-7.2,0.224
1.346,-7.2,0.224
1.348,-7.2,0.232
1.35,-7.0,0.264
1.352,-7.2,0.272
1.354,-7.0,0.264
1.356,-7.0,0.296
1.358,-7.0,0.304
1.36,-7.2,0.328
1.362,-7.2,0.352
1.364,-7.0,0.352
1.366,-7.2,0.368
1.368,-7.0,0.376
1.37,-7.0,0.384
1.372,-7.0,0.408
1.374,-7.0,0.44
1.376,-7.0,0.472
1.378,-7.0,0.472
1.38,-6.8,0.496
1.382,-7.0,0.512
1.384,-7.0,0.52
1.386,-6.8,0.52
1.388,-6.8,0.56
1.39,-6.8,0.576
1.392,-6.8,0.6
1.394,-6.8,0.6
1.396,-6.8,0.648
1.398,-6.8,0.672
1.4,-6.8,0.704
1.402,-6.8,0.704
1.404,-6.6,0.728
1.406,-6.8,0.76
1.408,-6.8,0.792
1.41,-6.8,0.792
1.412,-6.8,0.816
1.414,-6.8,0.856
1.416,-6.6,0.872
1.418,-6.8,0.896
1.42,-6.6,0.92
1.422,-6.8,0.952
1.424,-6.6,0.976
1.426,-6.6,0.984
1.428,-6.6,1.032
1.43,-6.6,1.04
1.432,-6.8,1.048
1.434,-6.6,1.08
1.436,-6.6,1.104
1.438,-6.6,1.128
1.44,-6.6,1.144
1.442,-6.6,1.168
1.444,-6.6,1.184
1.446,-6.6,1.2
1.448,-6.6,1.224
1.45,-6.6,1.24
1.452,-6.6,1.256
1.454,-6.4,1.28
1.456,-6.4,1.288
1.458,-6.4,1.304
1.46,-6.4,1.32
1.462,-6.6,1.32
1.464,-6.4,1.336
1.466,-6.4,1.352
1.468,-6.6,1.352
1.47,-6.4,1.368
1.472,-6.4,1.368
1.474,-6.4,1.376
1.476,-6.4,1.376
1.478,-6.4,1.376
1.48,-6.4,1.376
1.482,-6.2,1.376
1.484,-6.2,1.376
1.486,-6.4,1.376
1.488,-6.4,1.376
1.49,-6.4,1.368
1.492,-6.2,1.36
1.494,-6.2,1.36
1.496,-6.2,1.352
1.498,-6.4,1.344
1.5,-6.2,1.336
1.502,-6.2,1.328
1.504,-6.2,1.328
1.506,-6.2,1.304
1.508,-6.2,1.296
1.51,-6.2,1.264
1.512,-6.2,1.272
1.514,-6.2,1.264
1.516,-6.0,1.248
1.518,-6.0,1.232
1.52,-6.2,1.2
1.522,-6.2,1.184
1.524,-6.2,1.168
1.526,-6.0,1.152
1.528,-6.0,1.152
1.53,-6.0,1.144
1.532,-6.0,1.112
1.534,-6.0,1.08
1.536,-6.0,1.064
1.538,-6.0,1.048
1.54,-6.0,1.032
1.542,-6.0,1.024
1.544,-6.0,1.024
1.546,-6.0,0.984
1.548,-6.0,0.96
1.55,-6.0,0.936
1.552,-6.0,0.928
1.554,-6.0,0.912
1.556,-5.8,0.912
1.558,-6.0,0.904
1.56,-6.0,0.888
1.562,-5.8,0.856
1.564,-6.0,0.84
1.566,-5.8,0.816
1.568,-6.0,0.8
1.57,-6.0,0.784
1.572,-5.8,0.768
1.574,-5.8,0.744
1.576,-5.8,0.736
1.578,-5.8,0.728
1.58,-5.8,0.712
1.582,-5.8,0.68
1.584,-5.8,0.664
1.586,-5.8,0.64
1.588,-5.8,0.616
1.59,-5.8,0.584
1.592,-5.8,0.584
1.594,-5.6,0.576
1.596,-5.6,0.576
1.598,-5.6,0.56
1.6,-5.6,0.56
1.602,-5.6,0.552
1.604,-5.6,0.536
1.606,-5.6,0.52
1.608,-5.6,0.488
1.61,-5.6,0.472
1.612,-5.6,0.456
1.614,-5.6,0.424
1.616,-5.6,0.416
1.618,-5.6,0.408
1.62,-5.6,0.4
1.622,-5.6,0.4
1.624,-5.6,0.392
1.626,-5.6,0.392
1.628,-5.6,0.376
1.63,-5.6,0.376
1.632,-5.6,0.376
1.634,-5.4,0.368
1.636,-5.4,0.36
1.638,-5.6,0.344
1.64,-5.6,0.336
1.642,-5.4,0.336
1.644,-5.4,0.328
1.646,-5.4,0.32
1.648,-5.4,0.312
1.65,-5.4,0.296
1.652,-5.4,0.288
1.654,-5.4,0.28
1.656,-5.4,0.264
1.658,-5.4,0.256
1.66,-5.4,0.264
1.662,-5.4,0.248
1.664,-5.4,0.248
1.666,-5.2,0.232
1.668,-5.2,0.232
1.67,-5.4,0.232
1.672,-5.2,0.224
1.674,-5.2,0.216
1.676,-5.2,0.208
1.678,-5.2,0.208
1.68,-5.2,0.2
1.682,-5.2,0.192
1.684,-5.2,0.192
1.686,-5.2,0.184
1.688,-5.2,0.176
1.69,-5.2,0.176
1.692,-5.0,0.168
1.694,-5.2,0.16
1.696,-5.0,0.168
1.698,-5.2,0.16
1.7,-5.0,0.152
1.702,-5.2,0.152
1.704,-5.2,0.144
1.706,-5.2,0.144
1.708,-5.0,0.144
1.71,-5.0,0.136
1.712,-5.0,0.136
1.714,-5.0,0.136
1.716,-5.0,0.128
1.718,-5.0,0.128
1.72,-5.0,0.128
1.722,-5.0,0.12
1.724,-5.0,0.12
1.726,-4.8,0.12
1.728,-5.0,0.112
1.73,-5.0,0.112
1.732,-5.0,0.104
1.734,-4.8,0.096
1.736,-4.8,0.104
1.738,-4.8,0.104
1.74,-4.8,0.104
1.742,-4.8,0.104
1.744,-4.8,0.096
1.746,-4.8,0.096
1.748,-4.8,0.096
1.75,-4.8,0.096
1.752,-4.8,0.088
1.754,-4.8,0.088
1.756,-4.8,0.088
1.758,-4.8,0.08
1.76,-4.8,0.08
1.762,-4.8,0.08
1.764,-4.8,0.08
1.766,-4.8,0.08
1.768,-4.8,0.08
1.77,-4.8,0.08
1.772,-4.8,0.08
1.774,-4.8,0.08
1.776,-4.6,0.08
1.778,-4.8,0.08
1.78,-4.6,0.072
1.782,-4.6,0.072
1.784,-4.6,0.072
1.786,-4.6,0.072
1.788,-4.6,0.064
1.79,-4.4,0.064
1.792,-4.6,0.064
1.794,-4.6,0.064
1.796,-4.6,0.064
1.798,-4.6,0.064
1.8,-4.6,0.064
1.802,-4.4,0.064
1.804,-4.6,0.056
1.806,-4.4,0.064
1.808,-4.4,0.056
1.81,-4.4,0.056
1.812,-4.6,0.056
1.814,-4.4,0.056
1.816,-4.4,0.056
1.818,-4.4,0.056
1.82,-4.4,0.056
1.822,-4.4,0.056
1.824,-4.4,0.056
1.826,-4.4,0.056
1.828,-4.4,0.048
1.83,-4.4,0.048
1.832,-4.4,0.048
1.834,-4.4,0.048
1.836,-4.4,0.048
1.838,-4.4,0.056
1.84,-4.2,0.048
1.842,-4.2,0.048
1.844,-4.4,0.048
1.846,-4.2,0.048
1.848,-4.2,0.04
1.85,-4.2,0.048
1.852,-4.2,0.048
1.854,-4.2,0.048
1.856,-4.2,0.048
1.858,-4.2,0.04
1.86,-4.2,0.04
1.862,-4.2,0.048
1.864,-4.2,0.04
1.866,-4.2,0.04
1.868,-4.2,0.048
1.87,-4.2,0.04
